player_name,player_id,season,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,games,age,years_exp,height,weight,ngs_efficiency,ngs_percent_attempts_gte_eight_defenders,ngs_avg_time_to_los,ngs_avg_rush_yards,ngs_expected_rush_yards,ngs_rush_yards_over_expected,ngs_rush_yards_over_expected_per_att,ngs_rush_pct_over_expected,headshot_url
AJ Dillon,00-0036265,2023,REG,178,613.0,2,0.0,0.0,32.0,-23.49627604587461,0,22,28,223.0,0,0.0,0.0,1.0,231.0,10.0,5.780031336733373,0,-40.31309523809524,0.05575791136039882,-0.024195771968065015,95.60000000000001,117.60000000000001,15,26.0,4.0,72.0,250.0,4.137830342577488,25.280898876404496,2.5971656441717803,3.443820224719101,669.7273457675097,-63.72734576750975,-0.3620871918608508,0.3693181818181818,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dmngnuthwbzaxzekg53u"
Aaron Jones,00-0033293,2024,REG,255,1138.0,5,3.0,1.0,49.0,-13.446157851263338,0,51,62,408.0,2,2.0,2.0,54.0,411.0,20.0,3.297681135018966,0,-10.676289538074435,0.12172763237901835,0.1497497783475827,190.60000000000002,241.6,17,29.0,7.0,69.0,208.0,3.871599297012303,18.43137254901961,2.7499017094017097,4.462745098039216,1061.5029390851523,42.49706091484745,0.1693109996607468,0.4063745019920319,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim"
Aaron Shampklin,00-0037609,2024,REG,6,17.0,0,0.0,0.0,1.0,-2.4144699463954655,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.7000000000000002,1.7000000000000002,3,24.0,2.0,70.0,194.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iujjn4h87hwnj9tswfey"
Adam Prentice,00-0036727,2022,REG,4,9.0,0,0.0,0.0,3.0,1.4556626389967278,0,3,3,9.0,0,1.0,0.0,-9.0,18.0,1.0,-0.3270686522591859,0,-0.5619047619047619,0.024221967963386725,-0.0612935523345738,1.8000000000000003,4.8,5,27.0,3.0,72.0,245.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yiwqv2dccizjdkw1dmye"
Alec Ingold,00-0035125,2024,REG,10,17.0,1,2.0,1.0,6.0,-10.23862992407862,0,11,12,96.0,0,0.0,0.0,15.0,76.0,3.0,3.275362042186316,0,12.637362637362639,0.038498466680598024,0.09594470065576195,15.3,26.3,9,28.0,5.0,73.0,242.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ti3f1rb38z7sbxkjk2d9"
Alexander Mattison,00-0034972,2024,REG,132,420.0,4,1.0,1.0,25.0,-30.891997679007826,1,36,48,294.0,1,0.0,0.0,-4.0,314.0,13.0,-6.277238814333214,0,-25.742261904761904,0.10085643693836972,-0.05405431171059041,101.4,137.4,14,26.0,5.0,71.0,220.0,4.248595238095239,16.666666666666664,2.7198086956521736,3.1818181818181817,497.3130941804972,-77.31309418049716,-0.5857052589431603,0.3181818181818182,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih"
Alvin Kamara,00-0033906,2024,REG,228,950.0,6,0.0,0.0,52.0,-18.174864595851048,0,68,89,543.0,2,1.0,0.0,79.0,542.0,18.0,-6.146962946878427,0,-15.471683784094115,0.21274499995347115,0.3348237122882166,197.3,265.3,14,29.0,7.0,70.0,215.0,4.411263157894741,25.438596491228072,2.76294472361809,4.166666666666667,964.5676668999428,-34.56766689994288,-0.1529542783183313,0.3805309734513274,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl9enad6kiwv6cukf4vt"
Ameer Abdullah,00-0032104,2024,REG,66,311.0,2,1.0,1.0,14.0,-7.581538221371561,0,40,47,261.0,3,0.0,0.0,31.0,252.0,16.0,11.852883492729346,0,20.74117216117216,0.09990650960427667,0.12517573144690486,85.2,125.2,13,31.0,9.0,69.0,203.0,3.192973244147158,15.0,2.6675000000000004,4.825,66.12063898794017,10.879361012059832,0.3776860113431525,0.5421052631578948,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/atwi5p12mlgnsl4y8cgt"
Andrew Beck,00-0034959,2023,REG,5,3.0,1,0.0,0.0,2.0,-1.4628208396025002,0,11,13,55.0,2,1.0,1.0,22.0,37.0,4.0,-9.02365962843089,0,6.958333333333333,0.034852139986298915,0.09259601860601088,27.8,38.8,12,28.0,5.0,75.0,255.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rsfn0gxxiu1cx6woxd38"
Anthony McFarland,00-0036336,2022,REG,6,30.0,0,0.0,0.0,3.0,0.7719154636724852,0,2,2,11.0,0,0.0,0.0,-4.0,15.0,1.0,-0.4527095224475488,0,-2.75,0.07142857142857142,-0.024539877300613498,4.1000000000000005,6.1000000000000005,1,26.0,4.0,69.0,198.0,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dwt64mh92t2qztepvswo"
Antonio Gibson,00-0036328,2024,REG,120,538.0,1,2.0,0.0,24.0,-10.650857649656245,0,23,29,206.0,0,0.0,0.0,53.0,213.0,12.0,2.4091973559776187,0,-40.965343915343915,0.05869228049947462,0.17896642527100157,80.4,103.4,17,26.0,4.0,72.0,221.0,3.73042750929368,14.166666666666666,3.007371428571429,4.483333333333333,452.6653554943693,83.33464450563076,0.7002911302994181,0.453781512605042,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hsjhpzgfdilf9cyrpeup"
Audric Estimé,00-0039373,2024,REG,76,310.0,2,2.0,1.0,15.0,-7.429717775516861,0,5,5,27.0,0,0.0,0.0,-10.0,37.0,2.0,-0.7653279736405239,0,-16.166666666666668,0.012096774193548387,-0.06725987163125892,43.7,48.7,13,20.0,0.0,71.0,227.0,4.361559378468368,31.54761904761905,2.881827380952381,3.3095238095238093,58.42637321253235,-14.926373212532347,-1.1460789829749438,0.26190476190476186,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cb8k8fqbi3rnecaiqrcy"
Austin Ekeler,00-0033699,2024,REG,77,367.0,4,1.0,0.0,19.0,4.998703326682188,0,35,41,366.0,0,1.0,0.0,-59.0,424.0,14.0,13.802796869245599,0,-80.625,0.1216728550457105,-0.32477303694439597,97.3,132.3,12,29.0,7.0,70.0,200.0,4.149633757961783,15.083798882681563,2.634852760736196,3.5083798882681565,648.716841214827,-47.71684121482701,-0.2695866735300961,0.3502824858757062,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sldndpn2zwt4uhkj2zks"
Avery Williams,00-0036950,2022,REG,22,109.0,1,0.0,0.0,6.0,0.22057749633677304,0,13,14,61.0,0,0.0,0.0,-27.0,85.0,3.0,-1.088607817532521,0,-1.9761904761904763,0.043263662596336405,-0.20109531140694656,23.0,36.0,14,26.0,3.0,69.0,195.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gdmc7wmuqw6wc7cgxwck"
Bam Knight,00-0037157,2022,REG,85,300.0,1,1.0,0.0,14.0,-13.8350112856757,0,13,14,100.0,0,1.0,0.0,-30.0,132.0,5.0,4.006584078888409,0,-31.166666666666668,0.049072356215213365,-0.07299124032494692,46.0,59.0,7,23.0,2.0,71.0,210.0,5.778472111191523,27.978021978021978,3.0887969830169832,3.741521223874165,48.917326933991305,0.28267306600869657,-0.04810315346327983,0.366529304029304,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qdfkex1xfpfdyfovabig"
Bijan Robinson,00-0038542,2024,REG,304,1456.0,14,1.0,0.0,82.0,16.883539606789647,1,61,72,431.0,1,0.0,0.0,-21.0,531.0,20.0,7.648418742303209,0,-36.7466940902235,0.1407924508438311,-0.24549566476325832,280.7,341.7,17,22.0,1.0,71.0,214.0,4.149890109890108,12.828947368421051,2.890904255319148,4.789473684210527,1230.4057909840053,194.5942090159947,0.6618850646802541,0.4829931972789115,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rydwvaod6ethdjap41l6"
Blake Corum,00-0039738,2024,REG,58,207.0,0,0.0,0.0,12.0,-9.743752136302646,0,7,8,58.0,0,0.0,0.0,-5.0,65.0,5.0,2.6341044609434903,0,1.6666666666666679,0.017984493719787838,-0.014491626141737586,26.5,33.5,14,23.0,0.0,68.0,213.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ehpbxs9iiosm4xs7nhnl"
Blake Watson,00-0039573,2024,REG,4,10.0,0,0.0,0.0,2.0,-0.17967239196877927,0,1,2,13.0,0,0.0,0.0,-4.0,18.0,0.0,0.25141325587173924,0,-3.25,0.05128205128205128,-0.031746031746031744,2.3000000000000003,3.3000000000000003,1,24.0,0.0,69.0,195.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x527wf1dlqhu9ncr9zv0"
Boston Scott,00-0034414,2022,REG,54,217.0,3,0.0,0.0,12.0,-2.530565278371796,0,5,6,15.0,0,0.0,0.0,-10.0,20.0,0.0,-3.9425144935958087,0,0.22222222222222232,0.016079880018851748,-0.054979274317480904,41.2,46.2,13,29.0,6.0,66.0,203.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eqdpw33quvi1wbwakaak"
Braelon Allen,00-0039794,2024,REG,92,334.0,2,0.0,0.0,22.0,-7.616423593426589,0,19,27,148.0,1,0.0,0.0,-5.0,163.0,8.0,4.739825129858218,0,51.06212121212121,0.044743124672363,-0.018809286452301493,66.2,85.2,17,20.0,0.0,73.0,235.0,3.902455089820358,14.130434782608695,2.576894117647059,3.630434782608696,385.7354989236668,-57.7354989236668,-0.6415055435962977,0.3111111111111111,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p0fylkec7poarrjosefz"
Breece Hall,00-0038120,2024,REG,209,876.0,5,5.0,1.0,40.0,-22.018763753843345,2,57,76,483.0,3,1.0,1.0,19.0,496.0,15.0,-1.4884487913530977,0,22.110768398268398,0.1412967498734016,0.028988313082681558,183.9,240.9,16,23.0,2.0,71.0,220.0,4.2895433789954325,11.483253588516746,2.886643617021277,4.1913875598086126,846.7814001203375,4.21859987966252,0.0207812801953818,0.3842364532019704,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ekmqygsmfkwwwdmuox4r"
Brian Robinson,00-0037746,2024,REG,187,799.0,8,2.0,2.0,47.0,-12.081065748527804,0,20,25,159.0,0,0.0,0.0,-23.0,179.0,4.0,-2.825956794258688,0,-3.166666666666667,0.05978539630051372,-0.13564081029939407,139.8,159.8,14,25.0,2.0,73.0,228.0,3.603366708385482,14.43850267379679,2.6961309523809525,4.2727272727272725,738.9097548223441,15.090245177655902,0.0820122020524777,0.3478260869565217,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gxcfbuvmooytbn45kvxf"
British Brooks,00-0039603,2024,REG,1,2.0,0,0.0,0.0,0.0,-0.33625045185908675,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.2,1,24.0,0.0,71.0,225.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qyywm0giwehv0iwy2f7n"
Bucky Irving,00-0039361,2024,REG,207,1122.0,8,2.0,1.0,52.0,20.879305200389354,0,47,52,392.0,0,0.0,0.0,-159.0,528.0,16.0,15.518046194164771,0,-23.07889574193922,0.0912462088644101,-0.8033504590546618,197.4,244.4,17,22.0,0.0,70.0,195.0,3.353618538324419,14.492753623188406,2.828218750000001,5.420289855072464,899.2301193360373,185.76988066396268,0.938231720525064,0.4191919191919191,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wjaqkrtdhwf16wldi83h"
C.J. Ham,00-0032918,2022,REG,4,7.0,2,0.0,0.0,3.0,1.085244546935428,0,10,12,86.0,0,0.0,0.0,63.0,56.0,7.0,5.690742364502512,0,6.2214285714285715,0.036856187603537566,0.19702375754081425,21.3,31.299999999999997,9,31.0,8.0,71.0,235.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a23fezyvrzsse3q8yuxi"
Cam Akers,00-0036414,2024,REG,104,444.0,2,1.0,1.0,21.0,-18.5232545894105,0,14,18,68.0,3,0.0,0.0,-27.0,83.0,4.0,-1.0221885307149088,0,-6.8177655677655675,0.03308303714900487,-0.08834708560682336,79.2,93.2,15,25.0,4.0,70.0,212.0,4.091824324324323,18.269230769230766,2.86165882352941,4.269230769230769,448.05662512018506,-6.0566251201850605,-0.0588021856328646,0.3106796116504854,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dutj0wamu7giwghnmr4m"
Carson Steele,00-0039325,2024,REG,56,183.0,0,3.0,2.0,14.0,-11.983610462734525,0,7,11,26.0,0,0.0,0.0,-17.0,43.0,0.0,-2.9024881075602025,0,-6.833333333333333,0.03306087668042127,-0.10610647615466917,16.900000000000002,23.900000000000002,12,21.0,0.0,72.0,225.0,2.9265277777777783,17.647058823529413,2.425875,4.235294117647059,68.24493120014846,3.755068799851543,0.2208863999912672,0.4117647058823529,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lhkvntmjrt4fbsxi3hrt"
Chase Brown,00-0038597,2024,REG,229,990.0,7,2.0,1.0,49.0,-5.85863272827405,1,54,65,360.0,4,0.0,0.0,53.0,326.0,23.0,9.818895294484077,0,23.220079769315763,0.10730175554806319,0.14587016276839213,201.0,255.0,16,24.0,1.0,70.0,205.0,3.724212121212122,18.340611353711797,2.609580952380952,4.323144104803493,890.0631400094491,66.93685999055094,0.2988252678149595,0.3928571428571428,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rxzzjpgjgjsmmkekp6zu"
Chase Edmonds,00-0034681,2022,REG,68,245.0,2,0.0,0.0,8.0,-15.705972078634659,0,16,24,157.0,1,0.0,0.0,50.0,113.0,7.0,5.059574326597328,0,21.287284610814023,0.05229936977017695,0.20004160839608456,58.2,74.2,13,28.0,6.0,69.0,210.0,6.688600000000001,23.333333333333332,2.95125,2.2916666666666665,50.57966100234101,-25.57966100234101,-2.268879683917527,0.14166666666666666,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nbnqxhjafvg2vg6lc2ls"
Chris Brooks,00-0038685,2024,REG,36,183.0,1,0.0,0.0,12.0,4.7882587546024995,0,11,13,69.0,0,0.0,0.0,-22.0,95.0,2.0,-3.788488999606906,0,4.7904040404040416,0.04501580875912427,-0.1425856901245624,31.200000000000003,42.2,11,24.0,1.0,73.0,230.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uuahiqarbpnfv8xlihlu"
Chris Collier,00-0039244,2024,REG,5,12.0,0,0.0,0.0,0.0,-3.004719461896457,0,1,2,-4.0,0,0.0,0.0,-5.0,1.0,0.0,-1.598184967180714,0,0.8,0.029411764705882353,-0.01694915254237288,0.8,1.8,2,24.0,0.0,71.0,195.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pj0aengevekxp3j1psd6"
Chris Evans,00-0036857,2023,REG,2,12.0,0,0.0,0.0,0.0,-0.6515378241892904,0,1,1,-1.0,0,0.0,0.0,-1.0,0.0,0.0,-1.3476241859607399,0,1.0,0.03225806451612903,-0.00423728813559322,1.1,2.1,1,26.0,3.0,71.0,216.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r7f5vinm6aqdzxtjf4yx"
Chris Rodriguez Jr.,00-0038611,2023,REG,51,247.0,2,1.0,1.0,14.0,-3.4841602042724844,0,2,2,12.0,0,0.0,0.0,-7.0,19.0,1.0,0.45433003921061754,0,-4.5,0.006882440476190476,-0.03291046148189005,35.900000000000006,37.900000000000006,8,24.0,1.0,71.0,224.0,3.009365924794208,15.891608391608393,2.797481351981352,5.31451048951049,41.74896363652764,17.00103636347236,1.515532042080082,0.5288461538461539,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z5nbh1nza9je683o17h1"
Christian McCaffrey,00-0033280,2023,REG,272,1459.0,14,2.0,2.0,83.0,14.388323717255844,0,67,83,564.0,7,1.0,0.0,153.0,461.0,31.0,6.454787399318722,0,-17.937128820486066,0.18659607840135223,0.697468227510581,324.3,391.3,16,28.0,7.0,71.0,205.0,3.5888485263879377,36.02941176470589,2.8048097165991908,5.363970588235294,1032.6689880858185,349.33101191418154,1.3232235299779604,0.4659090909090909,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umiv5sn2xxrjdjwjtkqm"
Chuba Hubbard,00-0036555,2024,REG,250,1195.0,10,1.0,1.0,62.0,9.696877446418444,1,43,54,171.0,1,3.0,2.0,-65.0,245.0,10.0,-22.244035907264333,0,-7.467277167277167,0.11949811683145016,-0.4263025037131407,198.60000000000002,241.60000000000002,15,25.0,3.0,73.0,207.0,3.3327615062761504,22.4,2.615353191489359,4.78,892.0800873688785,281.9199126311215,1.164958316657527,0.512396694214876,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyis5zooijf0xfme9csj"
Clyde Edwards-Helaire,00-0036360,2022,REG,71,302.0,3,0.0,0.0,15.0,1.9969222918880405,0,17,23,151.0,3,0.0,0.0,10.0,144.0,11.0,10.229611164977541,0,-53.53333333333333,0.06189595982764863,0.014418408988720512,81.3,98.3,10,25.0,4.0,67.0,209.0,4.327436454164714,9.912280701754385,2.887427200577201,3.7250950803582383,59.166775134024164,-4.166775134024171,-0.3893514956142933,0.3654817404817404,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lgwe3vcpwh3db31b2obg"
Cody Schrader,00-0039703,2024,REG,1,3.0,0,0.0,0.0,0.0,-0.3208925893995911,0,1,1,6.0,0,0.0,0.0,0.0,6.0,0.0,0.3972773446002975,0,0.0,0.025,0.0,0.9,1.9,1,24.0,0.0,69.0,214.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lalojbe9yf1gmoeuyklz"
Cordarrelle Patterson,00-0030578,2022,REG,144,695.0,8,1.0,1.0,39.0,-0.25217030422188547,0,21,31,122.0,0,0.0,0.0,75.0,116.0,6.0,-18.13727469034199,0,3.3945707070707076,0.09392865999428225,0.3424803947742078,133.70000000000002,154.70000000000002,13,33.0,11.0,74.0,238.0,4.010129496402881,36.80555555555556,2.8816718749999994,4.826388888888889,572.1291298675209,86.87087013247913,0.6249702887228714,0.4532374100719424,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jktdrwmujfuqp94csnav"
Craig Reynolds,00-0035567,2023,REG,41,179.0,1,1.0,1.0,11.0,-4.479686257458525,0,5,5,47.0,0,0.0,0.0,-12.0,59.0,2.0,2.8365457532927394,0,-18.666666666666668,0.021335363413658145,-0.04308032348993149,26.599999999999998,31.599999999999998,6,28.0,5.0,71.0,215.0,6.6398558558558545,37.85714285714286,2.8926587301587303,3.392857142857143,39.924166339032254,4.575833660967742,0.16625732762323164,0.4214285714285715,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kfohmdfiai96uqcl7c03"
D'Andre Swift,00-0036275,2024,REG,253,959.0,6,1.0,0.0,43.0,-38.92684176869807,0,42,52,386.0,0,1.0,0.0,2.0,405.0,12.0,1.8073432361870143,1,3.148611111111111,0.10110170670494513,0.07248869836579316,172.5,214.5,17,25.0,4.0,69.0,211.0,4.501449426485922,22.529644268774703,2.8658198198198197,3.790513833992095,1125.5934389497806,-173.59343894978065,-0.6943737557991226,0.288,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xlqznrxbapcjhxxazkbx"
D'Ernest Johnson,00-0035628,2023,REG,41,108.0,0,0.0,0.0,5.0,-13.305333968893585,0,10,12,140.0,0,0.0,0.0,10.0,136.0,6.0,9.814723854260428,0,3.6999999999999993,0.02080560046278828,0.02876684114275688,24.8,34.800000000000004,15,28.0,5.0,70.0,208.0,,,,,,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbe2eojaxid4n3pmo0rj"
D'Onta Foreman,00-0033925,2023,REG,109,425.0,4,1.0,0.0,24.0,-4.143150425195927,0,11,16,77.0,1,0.0,0.0,21.0,65.0,6.0,1.204451046185568,0,10.451428571428572,0.05710753857305581,-0.0025617968902794663,80.2,91.2,9,28.0,7.0,73.0,233.0,3.828047058823529,20.18348623853211,2.633693877551021,3.8990825688073394,418.77862707101326,8.221372928986739,0.0768352610185676,0.4299065420560747,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/shlxaet74pmn8arznphw"
Dalvin Cook,00-0033893,2022,REG,264,1173.0,8,3.0,3.0,50.0,-48.55650332735415,0,39,56,295.0,2,0.0,0.0,-34.0,331.0,16.0,6.475425905337565,0,-31.043939393939397,0.08670944973657033,-0.16259486632661066,198.8,237.8,17,29.0,7.0,70.0,210.0,4.008184143222509,18.939393939393938,2.911220779220779,4.443181818181818,1138.764501037635,-20.764501037635,-0.0804825621613759,0.3217054263565891,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uurolop9ktcloxqh4fid"
