posteam,team_name,pass_to_run,shotgun_freq,no_huddle_freq,short_passes_freq,deep_passes_freq,middle_passes,side_passes,scramble_freq,first_down_rush_pct,epa_pass,epa_run,yac,inside_run_pct,outside_run_pct,yards_gained_1,yards_gained_2,yards_gained_3,yards_gained_4,ydstogo_3rd_down,avg_air_yards,team_conf,team_division,team_logo_espn,team_color,team_color2,scheme,score_west_coast_mcvay,score_air_raid,score_spread_option,score_west_coast,score_run_power,score_pistol_power_spread,score_shanahan_wide_zone,cap_space_all,PointsScored,TotalYds,TotalTO,TotalFumblesLost,Total1stdowns,PassingYds,PassingTD,Int,Passing1stD,Att,RushingYds,RushingTD,Y/A,1stD,Penalties,PenYards,PctScoreDrives,TO%,PointsScored_Rank,TotalYds_Rank,TotalTO_Rank,PassingYds_Rank,PassingTD_Rank,Int_Rank,Passing1stD_Rank,Y/A_Rank,RushingYds_Rank,RushingTD_Rank,PctScoreDrives_Rank,TO%_Rank
ARI,Arizona Cardinals,0.5718283582089553,0.6875,0.0998134328358208,0.7797202797202797,0.1678321678321678,0.1783216783216783,0.7692307692307693,0.0668841761827079,0.4159021406727828,0.0758305266499519,0.0561771728098392,5.272727489471436,0.6949891067538126,0.2832244008714596,6.0401692390441895,6.093294620513916,5.635416507720947,4.0,6.395833492279053,6.821033000946045,NFC,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,#97233F,#000000,West Coast,0.5763806797065811,0.2844494982098348,0.0845149253731341,0.6561940584629335,0.3915955353949211,0.4238059415370668,0.4109419406236789,66116763.0,400.0,6090.0,20.0,9.0,356.0,3639.0,21.0,11.0,191.0,463.0,2451.0,18.0,5.3,136.0,92.0,806.0,44.6,11.9,12.0,11.0,16.0,18.0,20.0,11.0,17.0,2.0,7.0,8.0,7.0,21.0
ATL,Atlanta Falcons,0.5518518518518518,0.812962962962963,0.1453703703703703,0.7589134125636672,0.1833616298811545,0.2122241086587436,0.7300509337860781,0.011744966442953,0.4018126888217522,0.0499394983053207,0.0150371985509991,5.379120826721191,0.6012396694214877,0.378099173553719,6.0649895668029785,5.782485961914063,5.44444465637207,7.838709831237793,7.106280326843262,8.046846389770508,NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,Spread Option,0.3191640151505215,0.245492937557835,0.412159604224502,0.2944444444444447,0.2944444444444447,0.1453623622579595,0.2944444444444447,7957211.0,389.0,6287.0,24.0,5.0,359.0,4068.0,21.0,19.0,198.0,495.0,2219.0,18.0,4.5,133.0,99.0,828.0,39.6,13.6,13.0,6.0,24.0,5.0,20.0,29.0,12.0,11.0,10.0,8.0,14.0,26.0
BAL,Baltimore Ravens,0.5009225092250923,0.672509225092251,0.0525830258302583,0.7349397590361446,0.2128514056224899,0.2329317269076305,0.714859437751004,0.0828729281767955,0.4517906336088154,0.3348925709724426,0.110430896282196,6.559748649597168,0.6284658040665434,0.3604436229205175,7.06584358215332,6.89595365524292,7.132275104522705,3.0,7.121693134307861,8.811440467834473,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,#241773,#9E7C0C,West Coast,0.3357454413678705,0.0612071750552475,0.2972324723247231,0.4851475774805336,0.1527675276752767,0.2712071750552474,0.181560352620029,10828402.0,518.0,7224.0,11.0,7.0,393.0,4035.0,41.0,4.0,199.0,554.0,3189.0,21.0,5.8,164.0,132.0,1120.0,47.0,6.1,3.0,1.0,3.0,7.0,2.0,2.0,11.0,1.0,1.0,6.0,5.0,3.0
BUF,Buffalo Bills,0.5514285714285714,0.6295238095238095,0.0609523809523809,0.7509363295880149,0.2209737827715356,0.1591760299625468,0.8127340823970037,0.077720207253886,0.4361370716510903,0.248737633228302,0.120150551199913,6.623100280761719,0.7791932059447984,0.2186836518046709,5.62696647644043,6.383481025695801,6.419191837310791,8.409090995788574,6.6565656661987305,8.211946487426758,AFC,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,#00338D,#C60C30,Run Power,0.4788541947965061,0.0,0.1457142857142858,0.5087603844245266,0.5832036157913049,0.1799174033169755,0.4568554204622178,3285762.0,525.0,6105.0,8.0,2.0,360.0,3875.0,30.0,6.0,181.0,491.0,2230.0,32.0,4.5,140.0,112.0,833.0,49.7,4.6,2.0,10.0,1.0,9.0,7.0,3.0,18.0,11.0,9.0,1.0,3.0,2.0
CAR,Carolina Panthers,0.6097087378640776,0.6524271844660194,0.0689320388349514,0.7435897435897436,0.1914529914529914,0.1982905982905982,0.7367521367521368,0.0684713375796178,0.3707865168539326,-0.1028568521142005,0.0191142838448286,4.196480751037598,0.7810945273631841,0.2139303482587064,5.796690464019775,4.546875,5.085308074951172,3.200000047683716,6.791469097137451,8.160877227783203,NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,#0085CA,#000000,West Coast McVay,0.5514751162042606,0.105742575985875,0.0,0.4005538881482713,0.3144061247162247,0.4430437090169744,0.2013344004357619,21051595.0,341.0,5066.0,22.0,7.0,293.0,3188.0,22.0,15.0,168.0,410.0,1878.0,18.0,4.6,99.0,118.0,947.0,33.3,11.8,23.0,29.0,19.0,30.0,16.0,23.0,26.0,10.0,18.0,8.0,25.0,20.0
CHI,Chicago Bears,0.6221821460775473,0.6780883678990082,0.2461677186654643,0.69375,0.184375,0.16875,0.709375,0.072463768115942,0.3605947955390334,-0.0978791117668151,-0.0575108118355274,5.314447402954102,0.6229116945107399,0.3699284009546539,4.69069766998291,4.903682708740234,3.78947377204895,5.815789699554443,7.65350866317749,8.067615509033203,NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,#0B162A,#E64100,West Coast McVay,0.5216048168598055,0.3148284919569916,0.1787601547702713,0.3154455047656029,0.0834535617673582,0.5085383812308862,0.0914616187691135,35255494.0,310.0,4820.0,16.0,9.0,296.0,3086.0,20.0,7.0,172.0,431.0,1734.0,13.0,4.0,97.0,110.0,867.0,29.8,7.7,28.0,32.0,8.0,31.0,25.0,6.0,22.0,27.0,25.0,20.0,30.0,5.0
CIN,Cincinnati Bengals,0.6626947754353804,0.8230980751604033,0.0293308890925756,0.8017118402282454,0.1269614835948644,0.2054208273894436,0.7232524964336662,0.0304287690179806,0.2580645161290322,0.1434012204408645,-0.0112060382962226,4.765217304229736,0.8152173913043478,0.1766304347826087,6.28690242767334,5.392045497894287,5.537383079528809,6.315789699554443,6.299065589904785,7.087557792663574,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,#FB4F14,#000000,Pistol Power Spread,0.1119156736938588,0.2099565228572697,0.234566971986509,0.0,0.0695652173913044,0.4427852389112503,0.1968114045384615,35272246.0,472.0,6214.0,22.0,13.0,376.0,4640.0,43.0,9.0,253.0,380.0,1574.0,11.0,4.1,88.0,101.0,780.0,43.6,10.5,6.0,9.0,19.0,1.0,1.0,7.0,1.0,20.0,30.0,25.0,9.0,17.0
CLE,Cleveland Browns,0.665514261019879,0.7536732929991357,0.1469317199654278,0.7397820163487738,0.159400544959128,0.1852861035422343,0.7138964577656676,0.0467532467532467,0.3406593406593406,-0.2447615712881088,-0.0667856633663177,4.331645488739014,0.7493540051679587,0.2454780361757106,4.838362216949463,4.78804349899292,4.071730136871338,3.340909004211426,7.902953624725342,7.78636360168457,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,#FF3C00,#311D00,Air Raid,0.1244149542488082,0.5929336669244722,0.1598897269101573,0.1401102730898424,0.3806201550387598,0.474525227338651,0.0122480620155037,4332694.0,258.0,5114.0,34.0,11.0,303.0,3506.0,19.0,23.0,180.0,391.0,1608.0,8.0,4.1,93.0,119.0,915.0,22.4,15.9,32.0,28.0,31.0,22.0,28.0,32.0,19.0,20.0,29.0,30.0,32.0,31.0
DAL,Dallas Cowboys,0.6205962059620597,0.7199638663053297,0.087624209575429,0.7851851851851852,0.154074074074074,0.2192592592592592,0.72,0.0174672489082969,0.3379310344827586,-0.1066436767578125,-0.1138955950736999,5.1005024909973145,0.7642857142857142,0.2166666666666666,5.144067764282227,5.035616397857666,5.3832597732543945,3.2142856121063232,7.079295158386231,7.389589786529541,NFC,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,#002244,#B0B7BC,West Coast,0.3890743256247849,0.323328927192698,0.0513672844993481,0.519074325624785,0.326306620209059,0.422651561397143,0.0882113821138211,40785438.0,350.0,5567.0,28.0,14.0,327.0,3862.0,23.0,14.0,192.0,429.0,1705.0,6.0,4.0,98.0,128.0,921.0,36.5,14.3,21.0,17.0,28.0,11.0,13.0,22.0,14.0,27.0,27.0,32.0,21.0,28.0
DEN,Denver Broncos,0.5922865013774105,0.6097337006427915,0.1276400367309458,0.765993265993266,0.1919191919191919,0.1936026936026936,0.7643097643097643,0.0790697674418604,0.4189189189189189,0.0390798710286617,-0.0049226586706936,5.511873245239258,0.7342342342342343,0.2612612612612612,5.175675868988037,5.223837375640869,5.583333492279053,8.142857551574707,6.811403274536133,7.258347988128662,AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,#002244,#FB4F14,West Coast McVay,0.6679766393119854,0.0982456140350877,0.0231404958677686,0.2617351085250003,0.6113134804956101,0.4087657690661648,0.4519441111262398,34344259.0,425.0,5518.0,19.0,7.0,315.0,3610.0,30.0,12.0,172.0,461.0,1908.0,12.0,4.1,124.0,108.0,941.0,38.4,10.0,10.0,19.0,11.0,20.0,7.0,16.0,22.0,20.0,16.0,23.0,18.0,15.0
DET,Detroit Lions,0.5359066427289049,0.4389587073608617,0.0359066427289048,0.7852233676975945,0.1563573883161512,0.2989690721649484,0.6426116838487973,0.0251256281407035,0.3730569948186528,0.2763842940330505,0.0498091839253902,6.461153030395508,0.7176015473887815,0.2804642166344294,6.838645458221436,6.027933120727539,5.872549057006836,5.818181991577148,6.176470756530762,6.368613243103027,NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,#0076B6,#B0B7BC,Shanahan Wide Zone,0.1686483614555735,0.0956043956043956,0.1922800718132853,0.3732587160285113,0.4710661564265598,0.0,0.5560705121866264,49504822.0,564.0,6962.0,15.0,3.0,410.0,4474.0,39.0,12.0,242.0,534.0,2488.0,29.0,4.7,144.0,107.0,988.0,51.6,8.2,1.0,2.0,6.0,2.0,4.0,16.0,2.0,6.0,6.0,2.0,1.0,7.0
GB,Green Bay Packers,0.5038387715930902,0.736084452975048,0.0892514395393474,0.7247524752475247,0.2237623762376237,0.194059405940594,0.7544554455445545,0.0380952380952381,0.4536741214057508,0.1355790048837661,0.0236323159188032,6.259740352630615,0.7292069632495164,0.2611218568665377,6.004376411437988,6.647727489471436,5.842931747436523,6.8125,6.612565517425537,8.741127014160156,NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,#203731,#FFB612,West Coast,0.1854461194396311,0.2493489238148356,0.3878326090355648,0.7499573408394737,0.4754428138121524,0.1723371671124495,0.245346102013313,31497586.0,460.0,6303.0,19.0,8.0,343.0,3807.0,28.0,11.0,171.0,526.0,2496.0,23.0,4.7,142.0,112.0,836.0,45.9,9.9,8.0,5.0,11.0,12.0,10.0,11.0,24.0,6.0,5.0,5.0,6.0,13.0
HOU,Houston Texans,0.6101382488479262,0.5751152073732719,0.0534562211981566,0.7319422150882825,0.1813804173354735,0.1990369181380417,0.7142857142857143,0.0589123867069486,0.3111888111888112,-0.0344193428754806,-0.0731752663850784,4.910364151000977,0.7139479905437353,0.2742316784869976,5.845474720001221,4.565597534179688,4.752173900604248,7.722222328186035,7.639130592346191,8.177504539489746,AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,#03202F,#A71930,Run Power,0.4970184250322201,0.1273561437135516,0.0,0.1733189043809958,0.5753183569184724,0.1804147465437786,0.5453887930199754,-2155858.0,372.0,5435.0,19.0,7.0,308.0,3526.0,20.0,12.0,197.0,434.0,1909.0,15.0,4.4,89.0,119.0,981.0,36.8,9.3,19.0,22.0,11.0,21.0,25.0,16.0,13.0,13.0,15.0,15.0,19.0,11.0
IND,Indianapolis Colts,0.5378071833648393,0.8572778827977315,0.109640831758034,0.6935779816513762,0.2440366972477064,0.1889908256880734,0.7486238532110092,0.0421792618629174,0.4467353951890034,-0.0727358311414718,-0.039098922163248,5.04152250289917,0.7709611451942741,0.2106339468302658,6.229074954986572,4.784194469451904,5.463302612304688,3.9642856121063232,6.816513538360596,10.632094383239746,AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,#002C5F,#a5acaf,Run Power,0.2715812751173498,0.0,0.3148310437472759,0.3815812751173495,0.4640350470270329,0.1256848557542647,0.2634215500945179,35204247.0,377.0,5692.0,29.0,10.0,315.0,3361.0,20.0,19.0,161.0,496.0,2331.0,20.0,4.7,130.0,93.0,684.0,36.6,14.9,17.0,13.0,29.0,25.0,25.0,29.0,31.0,6.0,8.0,7.0,20.0,29.0
JAX,Jacksonville Jaguars,0.600196463654224,0.6895874263261297,0.1277013752455795,0.7465753424657534,0.1866438356164383,0.1900684931506849,0.7431506849315068,0.044189852700491,0.3785714285714285,-0.0147100081667304,-0.0279371179640293,5.113702774047852,0.7985257985257985,0.1941031941031941,5.313817501068115,5.596330165863037,4.980391979217529,3.807692289352417,6.671568393707275,8.416513442993164,AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,#006778,#000000,Pistol Power Spread,0.4919924335014565,0.2122665590181853,0.0,0.4657396969209311,0.2523590119857312,0.7283634971822635,0.1494106090373282,60200409.0,320.0,5206.0,24.0,9.0,298.0,3477.0,19.0,15.0,174.0,414.0,1729.0,13.0,4.2,106.0,99.0,787.0,33.3,13.0,26.0,25.0,24.0,24.0,28.0,23.0,21.0,17.0,26.0,20.0,25.0,25.0
